,date,team1,team2,toss_winner,toss_decision,winner,venue,batting_team,bowling_team
179,2010-03-15,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,"Sardar Patel Stadium, Motera",Rajasthan Royals,Delhi Daredevils
180,2010-03-16,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore
181,2010-03-16,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders
182,2010-03-17,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils
183,2010-03-18,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore
184,2010-03-19,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings
186,2010-03-20,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,"Sardar Patel Stadium, Motera",Rajasthan Royals,Kolkata Knight Riders
187,2010-03-20,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,Brabourne Stadium,Mumbai Indians,Royal Challengers Bangalore
189,2010-03-21,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,Chennai Super Kings
190,2010-03-22,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,Brabourne Stadium,Kolkata Knight Riders,Mumbai Indians
191,2010-03-23,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings
192,2010-03-24,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Kings XI Punjab
193,2010-03-25,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Brabourne Stadium,Chennai Super Kings,Mumbai Indians
195,2010-03-27,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Kings XI Punjab
196,2010-03-25,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore
197,2010-03-28,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,"Sardar Patel Stadium, Motera",Rajasthan Royals,Chennai Super Kings
199,2010-03-29,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders
200,2010-03-30,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Brabourne Stadium,Kings XI Punjab,Mumbai Indians
201,2010-03-31,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings
